id,rating,year,img,name,link,location,type,lat,lng
2967,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/30e313c7-ca37-483b-a3a9-8cb04a53c2f1.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Three Coins,https://guide.michelin.com//en/taipei-region/taipei/restaurant/da-san-yuan,Taipei,Cantonese,25.042217,121.51223
2968,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/9298e796-6485-4485-ba28-e1ed899c1c11.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",L'Atelier de Joël Robuchon,https://guide.michelin.com//en/taipei-region/taipei/restaurant/l-atelier-de-joel-robuchon550759,Taipei,French Contemporary,25.03961,121.568138
2969,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/dd72a4c7-662d-4e56-a669-23d9122985ef.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Golden Formosa,https://guide.michelin.com//en/taipei-region/taipei/restaurant/golden-formosa,Taipei,Taiwanese,25.118368,121.536247
2970,2,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/b075897e-dbb2-4229-b796-7706ad2aad19.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",The Guest House,https://guide.michelin.com//en/taipei-region/taipei/restaurant/the-guest-house,Taipei,"Huaiyang, Huaiyang",25.044601,121.521858
2971,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/8b09a64b-46d9-420f-8af1-d001b5f4f253.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Sushi Ryu,https://guide.michelin.com//en/taipei-region/taipei/restaurant/sushi-ryu,Taipei,Sushi,25.055813,121.527275
2972,2,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/e9dcee92-9667-463b-90b9-94e1152bba22.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Taïrroir,https://guide.michelin.com//en/taipei-region/taipei/restaurant/tairroir,Taipei,Innovative,25.082895,121.559303
2973,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/4f884e75-198f-46e2-b35a-fec51a083671.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Ming Fu,https://guide.michelin.com//en/taipei-region/taipei/restaurant/ming-fu,Taipei,Taiwanese,25.061628,121.524178
2974,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/94fac186-8bfb-4044-ab22-9d6c496843b1.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Mountain and Sea House,https://guide.michelin.com//en/taipei-region/taipei/restaurant/mountain-and-sea-house,Taipei,Taiwanese,25.038095,121.531433
2975,2,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/bc241971-9212-4daa-9208-d46bdea2f5b1.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Raw,https://guide.michelin.com//en/taipei-region/taipei/restaurant/raw,Taipei,Innovative,25.083019,121.559593
2976,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/6f1aca0c-61dc-453d-ade9-e70e3c913ff9.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Da-Wan,https://guide.michelin.com//en/taipei-region/taipei/restaurant/da-wan,Taipei,Barbecue,25.043045,121.550789
2977,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/04e2847d-db46-435f-b8d3-10680e028adf.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Ya Ge,https://guide.michelin.com//en/taipei-region/taipei/restaurant/ya-ge,Taipei,Cantonese,25.055801,121.548347
2978,1,MICHELIN Guide Taipei & Taichung,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/4bfb22ee-9a82-4988-8cb6-a1f7839910cf.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Kitcho,https://guide.michelin.com//en/taipei-region/taipei/restaurant/kitcho,Taipei,Sushi,25.043045,121.550789
